study_id	derivative_id	tool_name	tool_version	datalad_uuid	url	size_total	size_annexed	file_count	processed_raw_version	current_raw_version	uptodate	outdatedness	tasks_processed	tasks_missing	anat_processed	func_processed	processing_complete	template_spaces	transform_spaces	descriptions
study-ds000001	MRIQC-0.16.1	MRIQC	0.16.1	n/a	https://github.com/OpenNeuroDerivatives/ds000001-mriqc.git	0	686513192	202	f8e27ac909e50b5b5e311f6be271f0b1757ebb7b	f8e27ac	True	0	balloonanalogrisktask		False	False	True	n/a		{}
study-ds000001	fMRIPrep-21.0.1	fMRIPrep	21.0.1	n/a	https://github.com/OpenNeuroDerivatives/ds000001-fmriprep.git	0	73948599418	8478	f8e27ac909e50b5b5e311f6be271f0b1757ebb7b	f8e27ac	True	0	balloonanalogrisktask		True	True	True	MNI152NLin2009cAsym,MNI152NLin6Asym,T1w,fsaverage5	fsnative,scanner	{"MELODIC":48,"about":16,"aparcaseg":112,"aroma":48,"aseg":112,"bbregister":48,"brain":352,"carpetplot":48,"compcorvar":48,"conform":16,"confoundcorr":48,"confounds":96,"preproc":352,"reconall":16,"rois":48,"smoothAROMAnonaggr":96,"summary":64,"validation":48}
study-ds006131	ASLPrep-0.7.5	ASLPrep	0.7.5	n/a	https://github.com/OpenNeuroDatasets/ds006188.git	0	2458868776	2359	n/a	9a71adf4b	False	n/a	n/a	bao,rat,rest	True	False	False	MNI152NLin6Asym,T1w,fsLR,fsaverage	aslref,orig	{"about":11,"basil":506,"basilByTissueType":22,"basilGM":264,"basilGMByTissueType":22,"basilWM":242,"brain":77,"carpetplot":22,"cbf":22,"cbfByTissueType":22,"conform":11,"confounds":11,"coreg":33,"hmc":22,"preproc":311,"qualitycontrol":11,"reconall":11,"reg":22,"ribbon":22,"summary":22,"timeseries":88,"validation":11}
study-ds006131	MRIQC-25.0.0rc0	MRIQC	25.0.0rc0	n/a	https://github.com/OpenNeuroDatasets/ds006143.git	0	2727304232	1638	n/a	9a71adf4b	False	n/a	bao,rat,rest		False	False	True	n/a		{"avgstd":220,"background":359,"carpet":120,"fa":22,"heatmap":22,"md":22,"mean":120,"stdev":120,"zoomed":139}
study-ds006131	fMRIPrep-24.1.1	fMRIPrep	24.1.1	n/a	https://github.com/OpenNeuroDatasets/ds006185.git	0	346120676966	7959	n/a	9a71adf4b	False	n/a	bao,rat,rest		True	True	True	MNI152NLin6Asym,T1w,fsLR,fsaverage	MNI152NLin2009cAsym,boldref,fsnative,funcpepolar01,orig	{"about":12,"brain":336,"carpetplot":48,"coeff":12,"compcorvar":48,"conform":12,"confoundcorr":48,"confounds":96,"coreg":240,"epi":12,"fmapCoreg":48,"hmc":192,"msmsulc":24,"pepolar":12,"preproc":854,"reconall":12,"reg":48,"ribbon":24,"rois":48,"sdc":48,"summary":60,"t2scomp":48,"t2starhist":48,"validation":48}
study-ds006131	qsiprep-1.0.1.dev0+gee9aa2e.d20250115	qsiprep	1.0.1.dev0+gee9aa2e.d20250115	n/a	https://github.com/OpenNeuroDatasets/ds006182.git	0	7773890805	464	n/a	9a71adf4b	False	n/a	n/a	bao,rat,rest	True	False	False	ACPC	MNI152NLin2009cAsym,anat,orig,raw	{"aseg":11,"brain":22,"carpetplot":11,"confounds":11,"coreg":11,"denoising":11,"image":11,"preproc":88,"resampled":11,"samplingscheme":11,"sdcdrbuddi":11,"seg":11,"shoreline":11,"shorelineiters":11,"slice":11,"summary":11}
study-ds006189	fMRIPost-AROMA-0.0.10	fMRIPost-AROMA	0.0.10	n/a	https://github.com/OpenNeuroDatasets/ds006189.git	0	18242873589	649	n/a	d4a78599	False	n/a	bao,rat,rest		False	True	True	MNI152NLin6Asym		{"about":24,"aroma":192,"melodic":96,"metrics":48,"normalization":48,"orthaggrCarpetplot":48,"orthaggrDenoised":48,"preprocCarpetplot":48,"summary":24}
study-ds006190	tedana-24.0.2	tedana	24.0.2	n/a	https://github.com/OpenNeuroDatasets/ds006190.git	0	41424959569	5046	n/a	cc3872f	False	n/a	bao,rat,rest		False	True	True	n/a		{"ICA":288,"ICAAccepted":96,"ICACrossComponent":48,"ICAMIRDenoised":48,"ICAOrth":48,"T1likeEffect":48,"adaptiveGoodSignal":48,"confounds":48,"denoised":48,"melodic":48,"optcom":48,"optcomMIRDenoised":48,"rmse":48,"tedana":144}
study-ds006191	custom-ds006191	custom	ds006191	n/a	https://github.com/OpenNeuroDatasets/ds006191.git	0	76325847	293	n/a	31d961ad	False	n/a	n/a	bao,rat,rest	False	False	False	n/a		{"ICAOrth":48,"ICAOrthMIR":48,"confounds":48,"glsig":48,"t1":48}
study-ds006192	xcp_d-0.10.6	xcp_d	0.10.6	n/a	https://github.com/OpenNeuroDatasets/ds006192.git	0	22655952486	13662	n/a	b2f3077	False	n/a	bao,rat,rest		True	True	True	MNI152NLin6Asym		{"about":12,"alffParcellatedStandard":48,"alffSurfaceStandard":48,"censoring":48,"connectivityplot":48,"coverageParcellatedStandard":48,"denoised":96,"denoisedSmoothed":96,"linc":48,"postprocessing":48,"preproc":19,"preprocessing":48,"qualitycontrol":48,"rehoParcellatedStandard":48,"rehoSurfaceStandard":48,"smooth":96,"summary":12}
